"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
698	"paid"	233	"Face Swap!"	"https://www.appannie.com/apps/ios/app/face-swap/"	"2015-04-01 12:38:47.625021"	"2015-04-01 12:39:03.064741"
699	"grossing"	233	"Words On Tour"	"https://www.appannie.com/apps/ios/app/883432723/"	"2015-04-01 12:38:47.632433"	"2015-04-01 12:39:03.073093"
700	"free"	234	"AirWatch MDM Agent"	"https://www.appannie.com/apps/ios/app/airwatch-mdm-agent/"	"2015-04-01 12:38:47.642275"	"2015-04-01 12:39:03.083927"
701	"paid"	234	"Forest: Stay focused, be present"	"https://www.appannie.com/apps/ios/app/forest-stay-focused-be-present/"	"2015-04-01 12:38:47.653858"	"2015-04-01 12:39:03.093709"
702	"grossing"	234	"Kingdoms at War"	"https://www.appannie.com/apps/ios/app/kingdoms-at-war/"	"2015-04-01 12:38:47.667515"	"2015-04-01 12:39:03.103448"
703	"free"	235	"Kill Shot"	"https://www.appannie.com/apps/ios/app/kill-shot/"	"2015-04-01 12:38:47.676260"	"2015-04-01 12:39:03.114326"
704	"paid"	235	"Tobuscus Adventures: Wizards"	"https://www.appannie.com/apps/ios/app/tobuscus-adventures-wizards/"	"2015-04-01 12:38:47.686035"	"2015-04-01 12:39:03.125528"
705	"grossing"	235	"Papa Pear Saga"	"https://www.appannie.com/apps/ios/app/572542612/"	"2015-04-01 12:38:47.695447"	"2015-04-01 12:39:03.177317"
706	"free"	236	"Deer Hunter 2014"	"https://www.appannie.com/apps/ios/app/583222866/"	"2015-04-01 12:38:47.706990"	"2015-04-01 12:39:03.187759"
707	"paid"	236	"Music Plus - Free Music Player Pro for SoundCloud and Jamendo"	"https://www.appannie.com/apps/ios/app/music-plus-free-music-player-pro-for-soundcloud-and-jamendo/"	"2015-04-01 12:38:47.716858"	"2015-04-01 12:39:03.197334"
708	"grossing"	236	"Geometry Dash"	"https://www.appannie.com/apps/ios/app/geometry-dash/"	"2015-04-01 12:38:47.724943"	"2015-04-01 12:39:03.208321"
709	"free"	237	"Backup Assistant"	"https://www.appannie.com/apps/ios/app/backup-assistant/"	"2015-04-01 12:38:47.735234"	"2015-04-01 12:39:03.218482"
710	"paid"	237	"Eagle Simulator"	"https://www.appannie.com/apps/ios/app/eagle-simulator/"	"2015-04-01 12:38:47.744836"	"2015-04-01 12:39:03.233473"
